Title,URL,Comments
SMERF: Streamable Memory Efficient Radiance Fieldssmerf-3d.github.io,https://smerf-3d.github.io/,25
Show HN: A pure C89 implementation of Go channels, with blocking selectsgithub.com/rochus-keller,https://github.com/rochus-keller/CspChan,29
The Long Shadow of Checksbitsaboutmoney.com,https://www.bitsaboutmoney.com/archive/the-long-shadow-of-checks/,0
Cortex A57, Nintendo Switch's CPUchipsandcheese.com,https://chipsandcheese.com/2023/12/12/cortex-a57-nintendo-switchs-cpu/,57
Tech Predictions for 2024 and Beyond Dr. Werner Vogels, CTO, Amazon.comallthingsdistributed.com,https://www.allthingsdistributed.com/2023/11/tech-predictions-for-2024-and-beyond.html,0
Dungeons and Directories, an exploration game in your file explorerwheybags.com,https://wheybags.com/dungeons_and_directories/,34
Prelay (YC W20) Is Hiringlever.co,https://jobs.lever.co/prelay/832af523-bf6c-4fe0-8b9a-29084543a923,0
My doomed career as a North Korean novelisttheguardian.com,https://www.theguardian.com/news/2023/dec/12/my-doomed-career-as-a-north-korean-novelist,7
Screenwriters' Lecture: Charlie Kaufman (2011)bafta.org,https://www.bafta.org/media-centre/transcripts/screenwriters-lecture-charlie-kaufman,13
Q&A With Bill Mensch, co-creator of the 6502ieee.org,https://spectrum.ieee.org/q-a-with-co-creator-of-the-6502-processor,18
The Linux Scheduler: A Decade of Wasted Cores (2016) [pdf]ubc.ca,https://people.ece.ubc.ca/sasha/papers/eurosys16-final29.pdf,33
Play Othello in your web browser (made with Mithril)jawj.github.io,https://jawj.github.io/fliptiles/,0
US agency will not reinstate $900M subsidy for Starlinkreuters.com,https://www.reuters.com/technology/space/us-agency-will-not-reinstate-900-mln-subsidy-spacex-starlink-unit-2023-12-13/,426
Low-frequency sound can reveal that a tornado is on its waybbc.com,https://www.bbc.com/future/article/20231212-the-sound-that-warns-a-tornado-is-coming,9
It's weird how design systems are so rote, yet so difficultquinnkeast.com,https://quinnkeast.com/writing/its-weird-how-design-systems-are-so-rote-yet-so-difficult,72
2nd Batch of the A16Z Open Source AI Granta16z.com,https://a16z.com/announcing-our-latest-open-source-ai-grants/,0
Show HN: PyApp – runtime installer for Python applicationsgithub.com/ofek,https://github.com/ofek/pyapp,21
Google Imagen 2cloud.google.com,https://cloud.google.com/blog/products/ai-machine-learning/imagen-2-on-vertex-ai-is-now-generally-available,127
'Biocomputer' combines lab-grown brain tissue with electronic hardwarenature.com,https://www.nature.com/articles/d41586-023-03975-7,71
Origin of mysterious green 'ghosts' in the sky has been discoveredelpais.com,https://english.elpais.com/science-tech/2023-12-12/the-origin-of-mysterious-green-ghosts-in-the-sky-has-been-discovered.html,13
Carcinogens that don’t create cancer cells but rouse themnewyorker.com,https://www.newyorker.com/magazine/2023/12/18/all-the-carcinogens-we-cannot-see,22
Ubuntu 24.04 LTS will enable frame pointers by defaultubuntu.com,https://ubuntu.com/blog/ubuntu-performance-engineering-with-frame-pointers-by-default,58
Show HN: Advent of Distributed Systemscryingpotato.com,https://aods.cryingpotato.com,14
How to Beat Silicon Valley Competitors (2018)alexcrompton.com,https://www.alexcrompton.com/blog/2018/02/15/how-to-beat-silicon-valley-competitors,34
Whisper: Nvidia RTX 4090 vs. M1 Pro with MLXowehrens.com,https://owehrens.com/whisper-nvidia-rtx-4090-vs-m1pro-with-mlx/,124
QMoE: Practical Sub-1-Bit Compression of Trillion-Parameter Modelsarxiv.org,https://arxiv.org/abs/2310.16795,6
What did the katydids do when picking up bat sounds?phys.org,https://phys.org/news/2020-08-katydids.html,0
Show HN: Spiderdashstandupweb.net,http://spiderdash.standupweb.net/,15
A Curious Artifact: The Changing Meaning of the Roman Oil Lamp (2022)uchicago.edu,https://www.journals.uchicago.edu/doi/10.1086/719422,0
Rare half female, half male bird spotted by University of Otago zoologistotago.ac.nz,https://www.otago.ac.nz/news/news/extremely-rare-bird-captured-on-film,53
